"beta","L","gamma","alpha","tau","log.density"
7097055917.06526,82.0775084294376,10.5486929111368,80930476.7094411,0.391214391886814,-1596.55134348762
7088064339.75674,82.0181036479282,10.5443344436985,80818854.0103437,0.391487991487633,-1596.69272396104
7075841024.12838,82.1876259792168,10.5466041480734,80677909.7432874,0.393163790931596,-1595.72245314386
7068845182.16531,82.2233516963428,10.5406472284823,80670844.2621727,0.39355761407752,-1595.91925072123
7068845182.16531,82.2233516963428,10.5406472284823,80670844.2621727,0.39355761407752,-1595.91925072123
7068845182.16531,82.2233516963428,10.5406472284823,80670844.2621727,0.39355761407752,-1595.91925072123
7068845182.16531,82.2233516963428,10.5406472284823,80670844.2621727,0.39355761407752,-1595.91925072123
7061587322.84621,82.138112513007,10.554422836506,80618776.4781005,0.393831971289256,-1595.66215676206
7071088886.04113,82.083625804752,10.5894718569772,80837253.3115347,0.393419076250098,-1596.20456950354
7059542374.42814,82.1026896960565,10.5904816617078,80934661.4559355,0.393759434361187,-1597.28245010468
7075807878.53714,81.9399185682654,10.5886947548979,80718566.4945504,0.391671404012722,-1596.62381915239
7085466571.473,82.0131453038142,10.5787470882351,80688107.2551256,0.39159391969917,-1595.92076141285
7075988607.58502,81.9505894403154,10.5828221078253,80656520.6118236,0.391562047380393,-1597.24749898434
7087000927.24972,81.9054325836653,10.574425994777,80673049.7814361,0.390532119779725,-1596.4793325703
7096529913.41479,81.9302666131326,10.6123818999705,80849628.5878262,0.390749710193186,-1596.26745915552
7092785998.87972,81.7585340935608,10.5922296612698,80922959.8031509,0.389824468316108,-1596.23810175346
7098606521.24113,81.7038133231771,10.6049856135042,81068679.1197568,0.389167963364755,-1596.27514875683
7110733250.27084,81.7992030247031,10.5889763552864,81173796.7254362,0.388395744883205,-1596.28812394711
7144082509.97611,81.9590341541511,10.5794914026396,81219660.3985792,0.387263007909843,-1596.50079718442
7156967419.97552,82.1489800842017,10.5813816890003,81195263.8009261,0.387645593957436,-1597.00720074774
7169093341.66124,82.3423149222415,10.5715811135582,81203605.7842998,0.388030940886287,-1597.78762085938
7190122387.67211,82.3949865225645,10.6198831553189,81267369.673649,0.38744656987856,-1599.05137635782
7198735397.27698,82.5784999998152,10.6222581953679,81270484.0120277,0.387314197404464,-1597.56217617064
7208945080.0117,82.6047787677585,10.6311533492104,81304190.7125558,0.386797914679819,-1597.91351566978
7208945080.0117,82.6047787677585,10.6311533492104,81304190.7125558,0.386797914679819,-1597.91351566978
7208945080.0117,82.6047787677585,10.6311533492104,81304190.7125558,0.386797914679819,-1597.91351566978
7198949280.64068,82.6718686171149,10.6454085655371,81084632.1507782,0.388251379921985,-1597.54612518939
7206642914.1374,82.5087392539914,10.6622966769857,81035016.6470511,0.386971602153399,-1597.79031326399
7205406717.18935,82.4876916157906,10.672434539637,80878788.8824186,0.387080837921282,-1597.97023460483
7198562198.14777,82.4103458533868,10.6626000191188,80776120.3159915,0.387029682778605,-1597.90833437861
7198562198.14777,82.4103458533868,10.6626000191188,80776120.3159915,0.387029682778605,-1597.90833437861
7193668063.93736,82.4801474265784,10.6646642324631,80755256.3426655,0.387592190061686,-1597.71066037634
7194986933.29133,82.4285605311589,10.6426778571794,80766324.3211682,0.387121159810377,-1597.54885571429
7181768911.11968,82.5106481310646,10.6538781327454,80967797.4831819,0.388480137272577,-1597.5072753192
7183766916.663,82.5083856307235,10.6453841397685,80869007.8699982,0.388068629174148,-1598.05125251302
7172549666.76734,82.449894432103,10.6274251771704,80973478.0166664,0.389019126575105,-1598.36782003843
7173843492.07159,82.6024802730228,10.6407452105513,80995904.6622477,0.389306310037809,-1597.93698562376
7165364206.76513,82.4794525203116,10.641086147749,80893794.5973368,0.389762491765589,-1597.92977407566
7154158464.24841,82.3808522279662,10.6561519574648,80793062.7843601,0.389811032152916,-1597.13863189305
7154158464.24841,82.3808522279662,10.6561519574648,80793062.7843601,0.389811032152916,-1597.13863189305
7154158464.24841,82.3808522279662,10.6561519574648,80793062.7843601,0.389811032152916,-1597.13863189305
7154158464.24841,82.3808522279662,10.6561519574648,80793062.7843601,0.389811032152916,-1597.13863189305
7155514406.67231,82.3885820607155,10.6159406061995,80871458.3715015,0.389485412723598,-1597.01669183671
7138147365.93304,82.4047270310747,10.603781758296,80874473.9603076,0.390249129062973,-1597.29402743625
7160064512.84796,82.3591129624153,10.5927560060625,80954884.2508955,0.389457009923889,-1601.9799799055
7150965146.18545,82.5519937728736,10.613480041785,80676957.3297834,0.389956574273233,-1601.16288060125
7156721212.75025,82.5556371511971,10.593201566485,80545039.8597487,0.38978837200091,-1597.32197189464
7157576806.69628,82.5531257813829,10.6033532616955,80343400.4783492,0.390646653396401,-1599.28550572501
7154127092.28748,82.632677365989,10.5772985314839,80407965.440515,0.390504069164726,-1596.66333189291
7166559704.79963,82.6430913716513,10.5601537869787,80629595.5401259,0.389596957684573,-1596.58662075582
7183003343.577,82.9102770198359,10.5591506037739,80399270.1761324,0.390477731737984,-1598.3260669605
