"time","Be","Bt","Bet","Pl","Pe","Pt","ery","tet"
12.4,1767923974.18534,831319103.873657,0.274662680854725,44944984.4540303,0.320317716828038,0.151427793956886,0,0
12.5,1767938985.69822,831286936.202605,0.283751204135735,45465370.9058159,0.324061456768941,0.153155795503728,0,0
12.6,1767941022.13787,831248590.723719,0.29294131834976,45993754.9038169,0.327861387606477,0.154911246463619,0,0
12.7,1767931740.53479,831204792.959208,0.302234731786805,46530841.2505898,0.331722585298828,0.156696485786437,0,0
12.8,1767912541.29238,831156154.389858,0.311633262700477,47077296.2288307,0.335649850102116,0.158513723039946,0,0
12.9,1767884609.70725,831103190.85584,0.321138856811665,47633755.8041989,0.339647765069954,0.160365066073954,0,0
13,1767848944.20928,831046335.062075,0.330753556880241,48200831.9150391,0.343720740903239,0.162252542228861,0,0
13.1,1767806387.47065,830985950.365543,0.340479511394841,48779119.2062126,0.347873064024054,0.164178121004412,0,0
13.2,1767757643.74486,830922338.438203,0.350318972219125,49369199.8241073,0.352108930768695,0.166143730217086,0,0
13.3,1767703301.25209,830855749.180053,0.36027431002989,49971648.6799666,0.356432484974941,0.168151273707407,0,0
13.4,1767643855.29336,830786390.977909,0.370347977914994,50587037.6587443,0.360847848103148,0.170202645467174,0,0
13.5,1767579709.22657,830714431.079163,0.380542544920601,51215939.195185,0.365359144683682,0.17229974169843,0,0
13.6,1767511194.90841,830640004.66092,0.390860668660977,51858930.5666313,0.369970533056804,0.17444447520387,0,0
13.7,1767438582.35559,830563219.097103,0.401305111381759,52516596.9681826,0.374686227364088,0.176638785703069,0,0
13.8,1767362086.88177,830484157.094832,0.411878743517807,53189534.7839768,0.37951052092822,0.178884650808992,0,0
13.9,1767281880.55478,830402881.711274,0.422584566136433,53878356.7588713,0.384447823456954,0.181184103217302,0,0
14,1767198089.09158,830319435.235602,0.433425633637108,54583681.5663824,0.389502585686253,0.183539196289105,0,0
14.1,1767110809.31434,830233846.376323,0.444405216426433,55306161.4302075,0.394679498234621,0.185952095654656,0,0
14.2,1767020103.8974,830146128.38385,0.455526557116485,56046462.1645352,0.399983347760184,0.188425013135357,0,0
14.3,1766926009.22644,830056282.295305,0.466793141480679,56805276.1864898,0.405419110541156,0.190960249964153,0,0
14.4,1766828538.78945,829964298.479012,0.47820852846357,57583321.8116775,0.410991947408579,0.193560194454061,0,0
14.5,1766727683.98584,829870156.92252,0.489776443946967,58381348.008409,0.416707237733457,0.196227337920831,0,0
14.6,1766623418.77911,829773829.336152,0.501500720687517,59200133.5070511,0.422570573172286,0.198964271633477,0,0
14.7,1766515698.93734,829675278.714242,0.513385347780383,60040493.2102357,0.428587803470788,0.201773708292769,0,0
14.8,1766404464.66632,829574460.499146,0.525434466231012,60903279.3204199,0.434765044605315,0.204658485756779,0,0
14.9,1766289642.21614,829471323.284947,0.537652365761355,61789383.2258997,0.441108692329584,0.207621573316567,0,0
15,1766171144.07249,829365808.835624,0.550043504426797,62699740.0627952,0.447625454822585,0.210666086947352,0,0
15.1,1766048870.03524,829257852.542629,0.562612517290671,63635330.9493456,0.454322368727223,0.213795296746345,0,0
15.2,1765922707.68444,829147383.590158,0.575364152540371,64597186.4708975,0.461206824121648,0.217012638562645,0,0
15.3,1765792532.94915,829034325.182391,0.588303558329762,65586389.1005917,0.468286581887179,0.220321722059532,0,0
15.4,1765658209.92278,828918594.392159,0.601435828582049,66604078.6250556,0.475569812555105,0.223726348839337,0,0
15.5,1765519591.00486,828800102.177124,0.614766403014413,67651456.1568912,0.483065125062338,0.227230525829194,0,0
15.6,1765376517.36219,828678753.578848,0.628300906183812,68729785.5369652,0.490781576845202,0.230838469927592,0,0
15.7,1765228817.83523,828554447.107741,0.642045210310876,69840402.9523808,0.498728742674767,0.234554640151123,0,0
15.8,1765076310.30764,828427075.43826,0.656005411413563,70984712.3725367,0.506916682088821,0.238383722312221,0,0
15.9,1764918799.2207,828296524.060448,0.670187865075977,72164203.4930095,0.515356067784597,0.24233068901456,0,0
16,1764756076.48075,828162671.740031,0.684599238247492,73380449.0450296,0.524058166450614,0.246400790597331,0,0
16.1,1764587920.64571,828025390.069125,0.699246410836056,74635112.3546655,0.533034892902131,0.250599580373822,0,0
16.2,1764414095.98239,827884542.949544,0.714136609872472,75929956.0775065,0.542298872635892,0.25493294379445,0,0
16.3,1764234351.7913,827739986.223558,0.729277401889485,77266848.5886303,0.551863487613968,0.259407119764843,0,0
16.4,1764048423.04559,827591568.018095,0.74467667372316,78647761.7313801,0.561742860215278,0.264028693073782,0,0
16.5,1763856026.44993,827439126.625334,0.760342751525323,80074800.1608621,0.571952063277972,0.268804692438778,0,0
16.6,1763656861.56757,827282491.115667,0.77628405113411,81550194.5929554,0.582507071860927,0.273742567883064,0,0
16.7,1763450609.36135,827121480.563036,0.792509656881973,83076314.4796125,0.593424854017158,0.278850233054297,0,0
16.8,1763236930.30169,826955903.041879,0.809029034606956,84655682.9063325,0.604723477486646,0.284136114956831,0,0
16.9,1763015463.23252,826785555.035682,0.825852079189422,86290986.365901,0.616422179723558,0.289609186555367,0,0
17,1762785823.69333,826610220.558297,0.842989106124088,87985088.8091788,0.628541468540553,0.295279013668067,0,0
17.1,1762547602.48244,826429670.407907,0.860451093987337,89741043.1407728,0.641103204472931,0.301155793312213,0,0
17.2,1762300364.02736,826243661.322227,0.878249402955595,91562105.5058728,0.654130703126082,0.30725040137309,0,0
17.3,1762043642.53248,826051933.955587,0.896396047505787,93451765.5969911,0.667648952219741,0.313574493779168,0,0
17.4,1761776942.55177,825854213.216964,0.914903623773115,95413743.6479282,0.681684590145212,0.320140496393693,0,0
17.5,1761499734.9093,825650206.137797,0.933785368891482,97452024.0983923,0.696266147075107,0.326961717381607,0,0
17.6,1761211452.3891,825439599.630773,0.953055274387331,99570888.854809,0.711424283199163,0.334052458213387,0,0
17.7,1760911489.70685,825222060.520642,0.972728035468204,101774920.644706,0.727191812835528,0.341428024784099,0,0
17.8,1760599197.88796,824997232.62483,0.99281914408353,104069047.810379,0.74360402527194,0.349104876904524,0,0
17.9,1760273881.33188,824764735.262723,1.01334495577521,106458569.178586,0.760698862962487,0.357100711240603,0,0
18,1759934793.94354,824524161.281388,1.03432273740652,108949186.942531,0.778517157105885,0.365434570999208,0,0
18.1,1759581134.40535,824275074.64051,1.05577071769411,111547046.523216,0.797102913222455,0.374126978897531,0,0
18.2,1759212040.53882,824017007.536004,1.07770817900276,114258783.337552,0.816503646229347,0.383200093155399,0,0
18.3,1758826584.95633,823749458.205802,1.10015561346638,117091560.626748,0.836770651494886,0.392677833642368,0,0
18.4,1758423766.5212,823471886.56908,1.12313461911655,120053140.926496,0.857959516865289,0.402586120288703,0,0
18.5,1758002512.68177,823183715.525658,1.14666801622229,123151873.394939,0.880130032062433,0.412952830639226,0,0
18.6,1757561655.97868,822884318.87855,1.17078031170012,126396886.705742,0.903347570491543,0.423808443414948,0,0
18.7,1757099937.20379,822573023.096288,1.19549713595075,129798066.395476,0.927682927193485,0.435185962718191,0,0
18.8,1756615990.27883,822249099.628901,1.22084611573773,133366184.420073,0.953213247097617,0.447121350121357,0,0
18.9,1756108338.69649,821911763.209291,1.24685645391543,137112934.982772,0.980022281908291,0.459653643978573,0,0
19,1755575380.39468,821560164.226155,1.27355926701462,141051070.456483,1.00820136407367,0.472825412641609,0,0
19.1,1755015366.20197,821193377.856741,1.30098781589834,145194582.53602,1.03785070485788,0.486683358486048,0,0
19.2,1754426392.68952,820810400.613002,1.32917759749985,149558771.837049,1.06907989333894,0.501278549706594,0,0
19.3,1753806391.97249,820410145.326174,1.35816643603526,154160345.170666,1.10200859370395,0.516666744407508,0,0
19.4,1753153096.50244,819991423.462278,1.3879949418581,159017727.887182,1.13676878351534,0.532909431944295,0,0
19.5,1752464028.96713,819552940.270019,1.41870646146409,164151162.325066,1.17350545962331,0.550074160729143,0,0
19.6,1751736473.65674,819093280.559605,1.4503477387347,169582967.222792,1.21237849750136,0.568235402720398,0,0
19.7,1750967450.8497,818610896.084701,1.48296866311169,175337779.469051,1.25356438419043,0.587475358857209,0,0
19.8,1750153681.236,818104087.975789,1.5166230618572,181442882.424388,1.29725857176324,0.607885052973411,0,0
19.9,1749291553.47588,817570990.843514,1.55136874211943,187928522.159658,1.3436777443693,0.629565385257893,0,0
20,1748377070.99246,817009546.570826,1.58726816273181,194828396.981713,1.39306332746264,0.652628763047031,0,0
20.1,1747405837.97702,816417497.805495,1.62438844947578,202179823.099905,1.44568267625811,0.677199651869891,0,0
20.2,1746372957.00419,815792337.457208,1.66280237273567,210024695.648122,1.50183596478298,0.703417777126297,0,0
20.3,1745272999.07548,815131294.501485,1.70258855487515,218409804.797283,1.56185845327631,0.731439175871702,0,0
20.4,1744099910.05085,814431288.284209,1.74383239787624,227387743.117866,1.62612699381425,0.761439218498626,0,0
20.5,1742846941.49828,813688895.159461,1.78662605496455,237017608.948757,1.69506507440785,0.793614950013375,0,0
20.6,1741506551.5709,812900300.523721,1.8310700959624,247366022.426902,1.76915010495376,0.828188472397538,0,0
20.7,1740070267.78578,812061232.401674,1.87727360217048,258508506.801509,1.84892332280871,0.865411542833161,0,0
20.8,1738528571.8746,811166906.232206,1.92535565926632,270530690.000412,1.93499841092058,0.905569572020018,0,0
20.9,1736870737.68218,810211946.993178,1.97544597771187,283530012.896597,2.02807375006005,0.948987308743239,0,0
21,1735084625.16859,809190290.371788,2.02768629655276,297617894.636373,2.12894794959311,0.996036045047499,0,0
21.1,1733156474.91991,808095084.798358,2.08223156458915,312921966.926476,2.23853587512327,1.04714104861053,0,0
21.2,1731070637.85063,806918562.582905,2.13925139753771,329589025.96825,2.35788982442793,1.10279138211666,0,0
21.3,1728809257.00545,805651888.727109,2.19893161245616,347788553.292597,2.48822478671758,1.16355161276558,0,0
21.4,1726351890.733,804284982.374672,2.26147609788114,367716965.477269,2.63094893303996,1.23007594390093,0,0
21.5,1723675056.02797,802806301.058268,2.32710850358768,389602862.173079,2.78770127186329,1.3031256637035,0,0
21.6,1720751682.88908,801202583.670951,2.39607437432885,413713387.781728,2.96039729929655,1.3835902925894,0,0
21.7,1717550446.95514,799458537.053198,2.46864328749478,440362185.502727,3.1512860801151,1.4725140196787,0,0
21.8,1714034965.94666,797556459.830477,2.54511098892894,469919179.18914,3.36302045178289,1.57112820826011,0,0
21.9,1710162809.46697,795475780.39757,2.6258015836381,502822884.650154,3.59874539025012,1.68089229867235,0,0
22,1705884296.40602,793192497.749957,2.71106950543866,539595746.057482,3.86220809905089,1.80354475147609,0,0
22.1,1701141007.39928,790678492.312004,2.80130097900105,580863619.909028,4.15789788441384,1.94116775396451,0,0
22.2,1695863950.36478,787900679.301248,2.89691476143024,627380522.31826,4.49122383436243,2.09626938760495,0,0
22.3,1689971277.64165,784819959.264657,2.99836195273789,680060390.68773,4.8687428837388,2.27188906059135,0,0
22.4,1683365493.27857,781389940.177991,3.10612170824562,740017547.36437,5.29845039942573,2.47173179100821,0,0
22.5,1675929920.71655,777555327.981324,3.22069578617146,808619812.986224,5.79016165240841,2.70034442491654,0,0
22.6,1667524333.41069,773249946.195735,3.34259583865837,887557517.325492,6.35600753678666,2.96334453120257,0,0
22.7,1657979544.9801,768394297.622103,3.47232232535112,978933848.208838,7.01108365612548,3.26771997890215,0,0
22.8,1647090634.12584,762892529.4783,3.61033007302102,1085385351.5316,7.77431615313493,3.62222835768567,0,0
22.9,1634608677.26781,756628757.182121,3.75697416377599,1210241271.42854,8.66960680871289,4.03792495062876,0,0
23,1620230597.17228,749462588.028547,3.91242663813859,1357738664.93049,9.72737923810676,4.52887524197344,0,0
23.1,1603587568.0668,741224070.059825,4.07654970697013,1533304188.57062,10.9866047418125,5.1130878256318,0,0
23.2,1584230978.50116,731707653.371879,4.24870831394671,1743950001.61961,12.4976491337889,5.81382456099336,0,0
23.3,1561618405.00033,720666315.39885,4.42749842087375,1998790842.16242,14.32599191823,6.66131069502703,0,0
23.4,1535100765.53736,707806438.235892,4.61036456402882,2309748207.89445,16.5572926683335,7.69506238196768,0,0
23.5,1503915731.63484,692785781.594937,4.79308572500469,2692488671.57824,19.3041442830989,8.9669857389412,0,0
23.6,1467196264.69401,675218562.889575,4.96913763736898,3167649720.49816,22.7148994071975,10.5454217405391,0,0
23.7,1424009025.01561,654694215.029323,5.12900230962601,3762400785.64697,26.9849165507148,12.5202909057569,0,0
23.8,1373444814.1658,630819499.04603,5.25964796143827,4512309615.35835,32.3700167606272,15.0092335499326,0,0
23.9,1314787082.68946,603295071.661302,5.34462300712549,5463382960.05517,39.2012160959031,18.1643044998178,0,0
24,1247771477.70489,572031309.046856,5.36548896498127,6673834420.73709,47.8975251575913,22.1777359729143,0,0
24.1,1172909335.95691,537290231.064573,5.30529807426161,8214917158.47518,58.9720581525316,27.2845719636675,0,0
24.2,1091752097.28826,499798075.427526,5.15410494919768,10169573017.3895,73.0224613161962,33.7580556118382,0,0
24.3,1006898061.81044,460741321.012284,4.914682930883,12627796053.7448,90.6977037357552,41.8941554344615,0,0
24.4,921573998.432033,421574813.869381,4.60469832228914,15678012666.2689,112.636143828185,51.9829902150209,0,0
24.5,838880754.435153,383684674.772012,4.25250601945235,19394646806.3608,139.375995362329,64.2677976868976,0,0
24.6,761089068.986871,348078156.382948,3.88793381980021,23822851307.8461,171.245157835879,78.8947831165633,0,0
